last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Vogelbach, Daniel,596129,2021,29,115,135,24,16,4,0,4,29,20,21.5,14.8,.209,.348,.326,.674,.238,.374,.298,.320,.347,.136,90.6,12.7,35.2,6.8,21.6,
Sanchez, Gary,596142,2021,29,134,158,27,16,5,0,6,47,21,29.7,13.3,.201,.373,.323,.696,.225,.428,.310,.335,.343,.203,90.5,18.5,34.5,10.3,36.4,
Kepler, Max,596146,2021,28,132,152,28,12,9,2,5,28,16,18.4,10.5,.212,.424,.303,.727,.261,.467,.312,.350,.347,.206,91.5,19.2,34.9,10.4,23.7,
Quinn, Roman,596451,2021,28,52,62,9,5,2,2,0,19,6,30.6,9.7,.173,.288,.306,.595,.212,.289,.277,.296,.339,.077,86.4,11.2,33.3,3,30.1,
Franco, Maikel,596748,2021,29,212,226,42,23,13,0,6,34,13,15.0,5.8,.198,.344,.243,.588,.228,.338,.256,.268,.271,.110,87.6,7.4,26.8,4.5,22.1,
Choi, Ji-Man,596847,2021,30,46,58,14,8,4,0,2,19,11,32.8,19.0,.304,.522,.448,.970,.279,.517,.423,.408,.428,.238,93.7,19.8,55.6,14.8,33.7,
Bradley Jr., Jackie,598265,2021,31,166,182,24,15,3,2,4,60,8,33.0,4.4,.145,.259,.209,.468,.197,.307,.225,.260,.263,.110,89.7,11.3,24.3,6.3,35.7,
La Stella, Tommy,600303,2021,32,68,75,16,11,3,1,1,10,6,13.3,8.0,.235,.353,.293,.646,.283,.443,.288,.341,.341,.161,88.9,9.9,31,6.9,12.6,
Severino, Pedro,600474,2021,28,138,152,32,25,5,0,2,34,14,22.4,9.2,.232,.312,.303,.614,.238,.344,.275,.288,.308,.106,86.6,15.7,23.1,2.9,27.8,
Candelario, Jeimer,600869,2021,28,210,233,56,39,13,0,4,60,22,25.8,9.4,.267,.386,.339,.725,.251,.405,.320,.318,.323,.154,88.9,13.2,38.8,9.2,25.7,
Daza, Yonathan,602074,2021,27,136,149,45,38,5,1,1,29,9,19.5,6.0,.331,.404,.362,.767,.267,.336,.341,.293,.316,.069,84.3,7.3,34.2,1.8,23.4,
Urias, Ramon,602104,2021,27,53,59,12,9,2,0,1,17,5,28.8,8.5,.226,.321,.305,.626,.228,.356,.283,.294,.307,.127,89.6,7.3,22.2,11.1,25.8,
Ahmed, Nick,605113,2021,31,159,175,34,22,10,1,1,45,14,25.7,8.0,.214,.308,.280,.588,.194,.276,.281,.243,.262,.082,87.4,15.6,26.1,2.5,31,
Anderson, Brian,605119,2021,28,124,136,31,22,6,0,3,36,12,26.5,8.8,.250,.371,.316,.687,.218,.385,.302,.292,.287,.167,88.9,11.2,34.1,9.1,28.6,
Barnes, Austin,605131,2021,32,87,102,20,13,5,0,2,25,13,24.5,12.7,.230,.356,.333,.690,.215,.288,.313,.283,.324,.073,84.5,15.6,30.2,3.2,26,
Bell, Josh,605137,2021,29,152,166,33,18,7,0,8,41,12,24.7,7.2,.217,.421,.277,.698,.245,.444,.300,.326,.306,.199,92.9,7.6,26.5,8.8,26,
Betts, Mookie,605141,2021,29,190,227,49,25,18,1,5,34,29,15.0,12.8,.258,.442,.374,.817,.265,.413,.358,.353,.382,.149,88.9,18.3,33.8,5.7,17.3,
Caratini, Victor,605170,2021,28,123,141,26,18,4,0,4,41,15,29.1,10.6,.211,.341,.305,.646,.210,.366,.288,.296,.307,.156,91.2,10.6,37.3,8.4,30.6,
Garcia, Aramis,605244,2021,28,56,61,11,8,1,0,2,18,1,29.5,1.6,.196,.321,.230,.551,.211,.334,.247,.256,.251,.124,88.7,10.9,27.5,5,30.3,
Panik, Joe,605412,2021,31,79,82,21,15,4,0,2,12,2,14.6,2.4,.266,.392,.280,.673,.274,.404,.290,.298,.289,.130,84.8,6.9,39.7,4.4,17.5,
