last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Chisholm Jr. Jr., Jazz,665862,2021,23,122,135,33,20,5,1,7,45,11,33.3,8.1,.270,.500,.333,.833,.220,.409,.353,.304,.289,.189,88.1,11.1,29.6,12.3,32.8,
Gimenez, Andres,665926,2021,23,78,85,14,8,4,0,2,25,3,29.4,3.5,.179,.308,.224,.531,.183,.283,.235,.230,.230,.100,86.2,11.6,18.2,5.5,36.1,
Kirilloff, Alex,666135,2021,24,100,106,24,14,6,0,4,28,5,26.4,4.7,.240,.420,.274,.694,.294,.586,.295,.379,.324,.292,92.7,8.1,41.1,15.1,31.1,
Lux, Gavin,666158,2021,24,169,185,41,28,6,2,5,42,13,22.7,7.0,.243,.391,.297,.688,.265,.432,.297,.324,.319,.167,88.9,11.9,37.2,6.2,25.1,
Bichette, Bo,666182,2021,23,229,247,60,36,12,1,11,64,15,25.9,6.1,.262,.467,.312,.779,.259,.478,.335,.337,.309,.219,91.1,4.7,31.9,13.3,26.2,
Carlson, Dylan,666185,2021,23,202,234,56,39,9,2,6,55,24,23.5,10.3,.277,.431,.359,.790,.248,.390,.344,.319,.336,.142,89.3,14.7,40.4,5.3,28.4,
Trammell, Taylor,666211,2021,24,100,113,18,8,5,0,5,45,11,39.8,9.7,.180,.380,.265,.645,.165,.311,.285,.254,.255,.145,85.1,11.7,30.4,8.9,41.4,
Dalbec, Bobby,666915,2021,26,147,157,30,15,8,1,6,56,9,35.7,5.7,.204,.395,.255,.649,.223,.474,.274,.315,.271,.251,90.8,17,39.6,17.6,40.1,
Garcia, Adolis,666969,2021,28,194,206,54,34,3,1,16,58,10,28.2,4.9,.278,.552,.316,.867,.270,.542,.368,.366,.312,.273,92,12.1,34.3,16.8,32.9,
Gurriel Jr., Lourdes,666971,2021,28,191,201,50,36,9,0,5,41,5,20.4,2.5,.262,.387,.279,.666,.246,.380,.288,.283,.269,.134,88.1,11,29.2,6.5,25.1,
Arozarena, Randy,668227,2021,26,213,243,54,37,10,0,7,68,24,28.0,9.9,.254,.399,.342,.741,.207,.331,.325,.283,.299,.124,91.3,6.6,23.6,6.1,35.7,
Baddoo, Akil,668731,2021,23,106,125,25,10,6,4,5,46,17,36.8,13.6,.236,.509,.336,.845,.191,.396,.359,.311,.308,.206,84.8,13.7,40.6,12.5,39,
Knizner, Andrew,668800,2021,26,72,81,15,11,4,0,0,17,7,21.0,8.6,.208,.264,.296,.560,.208,.291,.254,.263,.296,.084,85.4,12.1,32.7,1.8,21,
Reynolds, Bryan,668804,2021,26,196,228,56,32,17,0,7,51,29,22.4,12.7,.286,.480,.386,.866,.278,.506,.385,.379,.381,.228,88.4,11.2,33.8,10.8,27.4,
Rojas, Josh,668942,2021,27,177,202,48,28,12,1,7,49,22,24.3,10.9,.271,.469,.347,.815,.246,.418,.346,.326,.327,.172,89.8,9.1,40.9,7.6,25.6,
Murphy, Sean,669221,2021,27,158,180,35,17,12,0,6,48,14,26.7,7.8,.222,.411,.311,.723,.230,.453,.317,.335,.320,.223,90.8,13.1,33.3,12.6,30.6,
Senzel, Nick,669222,2021,26,111,124,28,23,4,0,1,16,12,12.9,9.7,.252,.315,.323,.638,.307,.440,.288,.354,.372,.133,88.9,10.5,33.3,4.2,17.8,
Edman, Tommy,669242,2021,26,245,265,67,47,14,2,4,29,16,10.9,6.0,.273,.396,.325,.720,.271,.404,.316,.321,.324,.133,86.7,8.6,27.6,4.1,13.2,
Solak, Nick,669256,2021,26,224,251,54,35,9,2,8,66,16,26.3,6.4,.241,.406,.315,.721,.246,.425,.316,.324,.319,.179,90.2,11,34.4,9.4,30.4,
Smith, Will,669257,2021,26,149,177,41,25,10,1,5,32,21,18.1,11.9,.275,.456,.373,.829,.266,.456,.357,.366,.374,.190,89.6,18.4,35,9.2,17,
Espinal, Santiago,669289,2021,27,67,70,15,10,4,1,0,13,3,18.6,4.3,.224,.313,.257,.571,.224,.306,.250,.250,.258,.082,82.3,7.8,37,1.9,20,
Hiura, Keston,669374,2021,25,103,117,13,7,4,1,1,45,8,38.5,6.8,.126,.214,.214,.427,.161,.300,.201,.245,.248,.139,90.7,19.4,32.8,9.8,46.9,
Hays, Austin,669720,2021,26,123,137,31,18,6,2,5,27,10,19.7,7.3,.252,.455,.314,.769,.235,.500,.335,.341,.303,.265,90.2,14.1,27.6,13.3,24.9,
Lopez, Nicky,670032,2021,26,140,169,32,23,6,3,0,22,21,13.0,12.4,.229,.314,.320,.634,.212,.272,.292,.278,.319,.061,87.2,3.6,24.8,0,12.7,
Raley, Luke,670042,2021,27,44,50,8,6,1,0,1,16,2,32.0,4.0,.182,.273,.280,.553,.226,.475,.249,.337,.319,.249,91.5,6.3,39.3,14.3,38.5,
Rojas, Jose,670351,2021,28,121,130,23,8,12,0,3,35,8,26.9,6.2,.190,.364,.246,.610,.202,.364,.266,.270,.257,.162,89.8,18.7,32.6,7,26.7,
Alvarez, Yordan,670541,2021,24,172,185,52,31,13,1,7,50,6,27.0,3.2,.302,.512,.341,.852,.270,.505,.355,.352,.316,.235,90.8,12.5,38.9,12.7,22,
Brosseau, Mike,670712,2021,27,110,122,19,9,6,0,4,46,10,37.7,8.2,.173,.336,.254,.590,.176,.311,.261,.254,.256,.135,89.7,20.5,32.3,9.2,31.9,
Kelenic, Jarred,672284,2021,22,83,92,8,4,2,0,2,26,8,28.3,8.7,.096,.193,.185,.378,.184,.327,.178,.263,.263,.143,87.6,16.8,22.8,7,22,
Robert, Luis,673357,2021,24,95,103,30,19,9,1,1,28,7,27.2,6.8,.316,.463,.359,.822,.259,.433,.355,.324,.312,.174,89.1,12.5,42.6,10.3,32.6,
Kim, Ha-Seong,673490,2021,26,140,153,28,18,5,2,3,36,8,23.5,5.2,.200,.329,.255,.583,.203,.300,.256,.252,.260,.097,87.4,13.9,29.2,3.8,22.5,
McCormick, Chas,676801,2021,26,67,81,13,6,3,0,4,23,8,28.4,9.9,.194,.418,.284,.702,.204,.429,.296,.313,.298,.225,89.9,20.6,39.2,11.8,35.4,
Vaughn, Andrew,683734,2021,23,141,162,32,16,12,0,4,45,15,27.8,9.3,.227,.397,.315,.712,.231,.438,.313,.330,.320,.207,91.9,9.2,34.7,12.2,32,
